municipio,region,codigo_partido,PBG2021,bienes_2021,servicios_2021,agro_2021,industria_2021,PBG2022,bienes_2022,servicios_2022,agro_2022,industria_2022,poblacion,tipo,codigo_indec,PBG_per_capita,Peso_Agro,Peso_Industria,Peso_Servicios,Variacion_Total,Variacion_Bienes,Variacion_Servicios,Agroindustrial
ADOLFO ALSINA,Interior,007,529207806.6069914,322296233.92012495,151429273.28047964,285959044.9287896,22727720.10212082,598774385.057956,372329773.9054062,163484150.9366361,334154132.6046148,23624529.22091556,17552,I,06007,34114.31090804216,55.80635059602152,3.9454809374701156,27.30313036366983,13.145418034739459,15.524084590352706,7.96073136653586,Resto
ADOLFO GONZALES CHAVES,Interior,014,389736875.75140744,251491505.954717,97813337.75363901,231006275.43631336,12631680.4770418,333390903.18181515,195585327.63302216,99570696.87662388,170218977.7803492,14849274.858833548,12914,I,06014,25816.238437495365,51.056875324375625,4.4540132070536655,29.86605091091009,-14.457439384189145,-22.22984752883113,1.7966456961228594,Resto
ALBERTI,Interior,021,310807157.4099791,173475661.20891258,102473910.11567308,142627000.43125796,16642035.300455743,297106996.8858645,161776699.7928138,99776276.866246745,127828619.33765355,16986363.701595124,12982,I,06021,22886.072784306307,43.02443923485239,5.717254685900427,33.58260758314501,-4.407929546501086,-6.743863280054021,-2.632507382982881,Resto
ALMIRANTE BROWN,AMBA,028,6137215753.169094,1688464500.3846157,3230131251.326247,13305307.642826242,1436323208.0527956,6512979147.14841,1835859469.713443,3390111551.417865,12745526.311489983,1521623826.6724236,584827,C,06028,11136.591072485384,0.1956942594706507,23.362946392030736,52.0516260658099,6.122701385971018,8.729527289158419,4.952749211844933,Resto
ARRECIFES,Interior,077,628681596.1004087,332810402.7082448,202377084.96075022,190732994.5825222,124657788.2551562,673295941.2278117,354418451.96051687,218259491.56686798,199427488.63687187,135070059.63097087,32215,I,06077,20900.07577922743,29.619588716545522,20.06102389161284,32.41657615948991,7.0964929471670946,6.492600314304049,7.847927352643729,Agroindustrial
AVELLANEDA,AMBA,035,6125439088.524248,2110727918.8719032,2950858010.639908,73740.77852261053,1688368390.246352,6414182672.598868,2185999200.8461885,3108341816.375388,54159.016676042076,1783660244.4471247,367554,C,06035,17450.994065086677,8.443634901046276e-4,27.808067457555424,48.46045045854556,4.7138430388699675,3.566129073353744,5.336881854960184,Resto
AYACUCHO,Interior,042,437693421.0616385,232645275.82288066,152353624.71591678,198576650.51242605,19635481.698810577,451048321.7863316,238160136.12573352,156642295.7035797,200044633.52572328,22120974.28803658,21977,I,06042,20523.652991142175,44.35104264072341,4.904346878052596,34.72849540448651,3.05119978552577,2.370501736322162,2.8149451617312673,Resto
AZUL,Interior,049,1523997115.37208,703503098.5996914,631685975.3532956,384279190.46305376,154447923.83403334,1492293658.750753,666284911.589864,628515039.3125867,341378141.9047857,173142765.23630413,75905,I,06049,19660.017900675226,22.87606999486712,11.602459356508122,42.11738323935095,-2.080283243422468,-5.290408398187502,-0.5019798071241691,Resto
BAHIA BLANCA,Interior,056,5346461207.9722,1581164726.680351,2900726839.716339,52447881.69278185,1215050379.8837059,5716704740.342797,1701271422.0000498,3090105714.773391,44701350.931708284,1331768086.5017774,336557,I,06056,16985.844122519506,0.781942621878838,23.296079594656817,54.053967366313465,6.925020456868189,7.596089976776951,6.528669727328443,Resto
BALCARCE,Interior,063,1074259003.5408368,571781578.0173563,359755764.62240547,373579661.21073246,143800266.41422454,1096786966.1709006,562694548.9469421,384625555.87551576,345851729.9532562,149887581.40292633,48982,I,06063,22391.632970701496,31.533172860422727,13.666061507478833,35.068392289372234,2.0970699389821212,-1.589248310853826,6.912965322241123,Agroindustrial
BARADERO,Interior,070,630374527.2297617,301858433.41060674,224037078.95085916,125727613.35390308,147323309.26330394,681851671.5627323,332104987.5539071,237559167.463093,143922243.0638986,156737524.07992056,40002,I,06070,17045.439517092454,21.10755888213106,22.987041114190514,34.84029993189463,8.166120632950005,10.020112342581827,6.03564757028448,Resto
BENITO JUAREZ,Interior,084,736835667.4906516,417125769.9134728,226066625.2230766,229392738.03920883,125323451.78941108,742501052.0074983,406453245.01296055,239675499.810931,219643268.879179,129638581.87104918,22292,I,06084,33307.960344854575,29.581543121767982,17.459716928419923,32.27948285903717,0.7688803306903618,-2.5585868029026577,6.0198512604085215,Agroindustrial
BERAZATEGUI,AMBA,091,3855424396.818001,1134777445.879397,1971553375.3693275,18650784.13632699,887435390.4907416,4056686519.3188314,1216368572.812598,2048894454.6885839,17874071.132364042,944303714.8464633,358712,C,06091,11309.034878450766,0.4406076497960538,23.277709784807918,50.50660052067861,5.220232632935,7.190055391872188,3.9228498850439766,Resto
