Anio,Tipo_Valor,region,municipio,codigo_partido,pbg_total,impuestos,vab,sector,valor
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,bienes,322296233.92012495
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,agro,285959044.9287896
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,pesca,0
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,mineria,38231.6999303954
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,industria,22727720.10212082
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,electricidad,11531365.422940742
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,construccion,2039871.7663434325
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,servicios,151429273.28047964
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,comercio,49076349.90920423
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,hoteles,1036918.6481603958
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,transporte,31997240.39267277
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,financiero,4097478.4848442664
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,inmobiliario,30144020.151406027
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,publico,13050183.8884038
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,ensenanza,10596054.646711426
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,salud,7298780.582308268
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,comunitarios,2160934.9873789786
2021,Constante,Interior,ADOLFO ALSINA,007,529207806.6069914,55482299.40638685,473725507.20060456,domestico,1971311.5893894709
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,bienes,251491505.954717
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,agro,231006275.43631336
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,pesca,0
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,mineria,9362.865289076424
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,industria,12631680.4770418
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,electricidad,4091240.992250746
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,construccion,3752946.1838220423
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,servicios,97813337.75363901
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,comercio,22458299.66128474
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,hoteles,325155.98959812167
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,transporte,22809978.269804087
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,financiero,3279738.655422939
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,inmobiliario,19624802.672838416
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,publico,10381675.274876837
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,ensenanza,12454158.268936744
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,salud,4302619.2787904935
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,comunitarios,1163267.8948522077
2021,Constante,Interior,ADOLFO GONZALES CHAVES,014,389736875.75140744,40432032.0430514,349304843.708356,domestico,1013641.7872344465
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,bienes,173475661.20891258
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,agro,142627000.43125796
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,pesca,0
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,mineria,0
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,industria,16642035.300455743
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,electricidad,2361519.5347070573
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,construccion,11845105.942491813
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,servicios,102473910.11567308
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,comercio,36292219.413593344
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,hoteles,417022.6431208653
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,transporte,18805979.37479745
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,financiero,4425851.161931131
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,inmobiliario,18148505.805460572
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,publico,8578717.932390567
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,ensenanza,8356213.880081362
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,salud,5190930.164064655
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,comunitarios,862099.7478124785
2021,Constante,Interior,ALBERTI,021,310807157.4099791,34857586.085393414,275949571.3245857,domestico,1396369.992420653
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,bienes,1688464500.3846157
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,agro,13305307.642826242
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,pesca,0
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,mineria,1168017.4448122839
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,industria,1436323208.0527956
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,electricidad,79588412.88389534
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,construccion,158079554.36028606
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,servicios,3230131251.326247
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,comercio,785036995.2372184
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,hoteles,63374821.062636964
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,transporte,531800210.6696531
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,financiero,138002925.40245906
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,inmobiliario,862298264.8413367
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,publico,194389671.42655638
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,ensenanza,199239642.38983428
2021,Constante,AMBA,ALMIRANTE BROWN,028,6137215753.169094,1218620001.4582307,4918595751.710863,salud,250833439.85764846
