term,estimate,std.error,statistic,p.value
(Intercept),25.812809614423433,8.284311182081767,3.1158667325600056,0.0022574434238256686
region_interior,-0.4888912542564579,1.7272945503944492,-0.28303872906031774,0.7775973506568473
peso_agro,-0.17768766764971444,0.041734485043861194,-4.257574221006253,3.9295089552320646e-5
peso_industria,-0.06467351667890336,0.06019693473574755,-1.0743656128473504,0.28464892399139285
log_poblacion,-1.4583580157546734,0.6645002454467499,-2.1946688895114033,0.0299634564340753
