"","crecimiento_total","peso_agro","peso_industria","log_poblacion"
"crecimiento_total",1,-0.288452064541626,0.107850446382972,0.0839251869009986
"peso_agro",-0.288452064541626,1,-0.700701959054176,-0.769651347250211
"peso_industria",0.107850446382972,-0.700701959054176,1,0.634016469462113
"log_poblacion",0.0839251869009986,-0.769651347250211,0.634016469462113,1
